"","dv","method","OR","lower","upper","p","star","est","se","zeta1","zeta1_se","zeta2","zeta2_se","zeta3","zeta3_se","zeta4","zeta4_se","zeta5","zeta5_se","zeta6","zeta6_se"
"11","MOS_11","logistic",0.633969574946922,0.526343694249906,0.763602616216681,3.37105108784195e-07,"***",-0.455754314739131,0.0949234553447993,-2.90589327959007,0.639886700285369,-1.48321037115138,0.574749562883349,0.165337544132502,0.606394342623734,0.54309491079843,0.647754386824683,NA,NA,NA,NA
"12","MOS_12","logistic",0.897315607038114,0.766910760158545,1.04989438206308,0.176274794298842,"",-0.108347631495927,0.080122493746481,-2.26285979590045,0.587900543309585,-1.24321818890949,0.560225917985342,0.127772567086179,0.552295428545193,1.62532949019207,0.596436890910005,NA,NA,NA,NA
"13","MOS_13","logistic",0.758524369941752,0.637199620464588,0.902949721432715,0.00151605326270006,"**",-0.2763803515841,0.0889260957686344,-1.34642913516002,0.579798136524638,-0.272244777641741,0.565972613160669,0.7112301836826,0.597963476771796,1.90811800500893,0.751545944747854,NA,NA,NA,NA
"14","MOS_14","logistic",1.05409494188828,0.901982261715923,1.23186030776335,0.506807733979215,"",0.0526825237552856,0.0795131694259937,-1.23867398577639,0.552961377724523,-0.267904470662124,0.525902974310341,0.821537743853993,0.529256309259865,1.82089156762187,0.563612435919519,NA,NA,NA,NA
"15","MOS_15","logistic",1.01328393492989,0.869443822313191,1.18092084437993,0.865830651865169,"",0.0131964771373291,0.078112676970357,-1.55139748144871,0.560193626636645,-0.64174215100911,0.531615609112888,0.245734676868994,0.526580290156308,1.5747450288077,0.557208077278137,NA,NA,NA,NA
"16","MOS_16","logistic",1.10812477196019,0.949143294838805,1.29373564235143,0.191519689754766,"",0.102669192057432,0.079014047928791,0.0965786078258627,0.535270706903211,1.15273974860539,0.546846368539265,1.90026948310575,0.567462104131856,2.84270316129268,0.617667321939812,NA,NA,NA,NA
"17","MOS_17","logistic",0.982167727489494,0.841455787637987,1.14641013716206,0.819644097303511,"",-0.0179931832885312,0.0788936044772666,-0.744691506014877,0.535766030914416,-0.111800173383138,0.530039349102834,0.520660375342217,0.53390870217408,1.52222578195617,0.560680006606451,NA,NA,NA,NA
"18","MOS_18","logistic",2.99724962390005,2.26891297296419,3.9593873431966,1.57981681721101e-22,"***",1.09769507612394,0.142040480363601,3.08719035449163,0.659206829679227,4.63827315928972,0.743390653925267,6.27884287808448,0.902229639244992,7.94549117968877,1.06302463056166,NA,NA,NA,NA
"19","MOS_19","logistic",1.50724558315212,1.20221888829091,1.88966357961749,0.000154443936862113,"***",0.410283867981436,0.115366887773132,-0.952908081361307,0.808806365614193,0.538613396560272,0.666526813265584,1.66867360462335,0.68649760700941,1.99285424850085,0.706377338785269,NA,NA,NA,NA
"20","MOS_20","logistic",1.23058719320412,1.04255059598607,1.45253846279345,0.0125043772240114,"*",0.207491448317493,0.084604228849297,0.860340805355785,0.561528813925948,1.82900714213737,0.587844833219109,2.43073862013928,0.610224228758286,3.01102016022029,0.635771922148945,NA,NA,NA,NA
"21","MOS_21","logistic",1.61533816954323,1.3503337232493,1.93235002359601,3.09309056539193e-08,"***",0.479544327661009,0.091426457203659,0.763899250928597,0.566193993658513,2.32141532776347,0.594175560588876,3.59794926552642,0.643377639508474,4.70265333428298,0.70228614612148,NA,NA,NA,NA
"22","MOS_22","logistic",1.71765488740135,1.35880804515623,2.17126938770409,1.55415696064856e-07,"***",0.540959922941297,0.119569566952661,3.93093080394481,0.869368653949739,4.26285160601691,0.884999659412188,5.39541934544241,0.942619797514031,8.57375874229232,1.37677020611072,NA,NA,NA,NA
"23","MOS_23","logistic",1.20062059661266,1.0169243324071,1.41749958288289,0.029674422365528,"*",0.182838586954703,0.0847239422317658,-0.553783402071472,0.59121453835971,-0.177416688836546,0.590712953375588,0.241322169149541,0.593042623162759,1.1305150981544,0.607381258551494,2.11006508485557,0.629223335498481,4.70049495717999,0.835897998912049
